Course_Code,Course_Name,AI & LLMs,API Development,AWS,Airflow,Analytical Skills,Apache Spark,Automation,Azure,BI Tools,Bash,Big Data,BigQuery,Bioinformatics,Business Analysis,Business Concepts,Cloud Databases,Cloud Platforms,Code Quality,Compliance & Regulatory,Computer Science,Dagster,Data Analysis,Data Best Practices,Data Engineering,Data Governance,Data Management,Data Mining,Data Modeling,Data Pipeline & ETL,Data Science,Data Security,Data Visualization,Data Warehousing,Database Administration,Database Cluster & HA,Database Performance Tuning,Deep Learning,Diagramming & Documentation,Excel & Spreadsheets,Git,Google Analytics,Historical Data,IT Infrastructure,Impact Delivery,Individual-Level Data,Information Systems,Information Technology,JavaScript,KPI Framework,Kafka,Large Dataset Handling,Linux,MS SQL Server,Machine Learning,Marketing & Segmentation,Matplotlib,Microsoft Office Suite,MySQL,Natural Language Processing,NoSQL Databases,NumPy,Organization,Pandas,Pattern Analysis,Planning,PostgreSQL,Presentation Skills,Problem Solving,Production Deployment & Operations,Project Management,PySpark,Python,Quality Assurance,R,Redshift,Relational Databases,Reporting,Scikit-learn,Snowflake,Software Engineering,Solution Architecture,Stakeholder Management,Statistical Analysis,Time Management,Web Development,dbt
c26,Mathematical Modelling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,50.0,0,0,0,0,30.0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,0
c27,Minor Project,0,10.0,10.0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,10.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0,0,50.0,30.0,30.0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,80.0,0,0,0,0,80.0,0,90.0,0,0,0,0,0,0,0,0,90.0,0,10.0,0,0,60.0,90.0,0,50.0,0,0,0,0,50.0,0
c36,Natural Language Processing,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,100.0,0,0,100.0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,100.0,0,0,0,0,10.0,0,0,40.0,30.0,0,0,0,100.0,0,0,0,0,20.0,0,0,0,0,0,10.0,0,0,0
c29,Object-Oriented Programming,50.0,100.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,50.0,0,0,100.0,0,0,0,0,0,0,0,70.0,0,0,0,0,0,50.0,0,0,0,0,50.0,0,0,0,0,30.0,0,0,0,0,70.0,0,100.0,100.0,0,0,0,0,0,0,0,100.0,0,0,0,0,100.0,0
c30,Optimization,10.0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,10.0,0,0,30.0,0,0,0,0,0,0,50.0,0,50.0,20.0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,50.0,0,0,0,0,30.0,0,0,0
c10,Probabilistic Graphical Models,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,75.0,0,0,0,0,20.0,0,0,80.0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,20.0,0,0,0,0,30.0,0,0,0,0,60.0,0,0,0,0,0,0,0,60.0,0,0,0,0,0,0,0,0,0,0,90.0,0,0,0
c19,Probability,10.0,0,0,0,90.0,0,0,0,0,0,0,0,0,90.0,0,0,0,0,0,0,0,50.0,0,0,0,0,30.0,0,0,60.0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,40.0,0,0,0,0,0,0,0,0,0,40.0,0,0,0,0,20.0,0,0,10.0,0,20.0,80.0,0,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,50.0,0,0
c35,Project Management,0,0,0,0,60.0,0,0,0,0,0,0,0,0,70.0,20.0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,0,0,0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,86.67,0,20.0,90.0,0,100.0,0,0,0,0,0,0,70.0,0,0,0,0,60.0,10.0,86.67,0,0
c11,Statistical Models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0
c31,Statistics,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,20.0,0,0,10.0,0,20.0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,20.0,0,10.0,0,0,0,0,0,0,20.0,0,0,0,0,0,100.0,10.0,0,0
c37,Time Series Analysis,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,40.0,0,0,85.0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,80.0,0,0,0
